"","Month_name","Region","Taxa","Probability","U","Q","Timesteps","Best","Worst","Month","Percenttot","Window","MonthName"
"85","January","Sanpablo","Spirinchus thaleichthys",NA,NA,NA,1,NA,NA,1,0,"Off","Jan"
"86","February","Sanpablo","Spirinchus thaleichthys",NA,NA,NA,1,NA,NA,2,0,"Off","Feb"
"87","March","Sanpablo","Spirinchus thaleichthys",NA,NA,NA,1,NA,NA,3,0.0711479,"Off","Mar"
"88","April","Sanpablo","Spirinchus thaleichthys",NA,NA,NA,1,NA,NA,4,0.9790167,"Off","Apr"
"89","May","Sanpablo","Spirinchus thaleichthys",37.42696285,-0.216775533,5.940400779,1,19.34093824,55.32093546,5,12.5932806,"Key","May"
"90","June","Sanpablo","Spirinchus thaleichthys",28.98509475,-0.165954701,4.277274902,1,14.70015717,45.75801679,6,30.2781611,"Key","Jun"
"91","July","Sanpablo","Spirinchus thaleichthys",12.62849447,-0.157088359,2.030514007,1,3.426046903,27.17225007,7,9.0277318,"Key","Jul"
"92","August","Sanpablo","Spirinchus thaleichthys",22.3196505,-0.061183817,3.438097038,1,10.33787426,39.5581,8,10.5653833,"Key","Aug"
"93","September","Sanpablo","Spirinchus thaleichthys",28.21688267,-0.243343412,3.935773525,1,9.12244712,49.40106186,9,20.7506582,"Key","Sep"
"94","October","Sanpablo","Spirinchus thaleichthys",NA,NA,NA,1,NA,NA,10,4.0262011,"Off","Oct"
"95","November","Sanpablo","Spirinchus thaleichthys",NA,NA,NA,1,NA,NA,11,3.8485271,"Off","Nov"
"96","December","Sanpablo","Spirinchus thaleichthys",19.11902241,-0.18023924,2.750627315,1,7.408056338,34.53303016,12,7.8598923,"Off","Dec"
"97","January","Delta","Alosa sapidissima",NA,NA,NA,1,NA,NA,1,0,"Off","Jan"
"98","February","Delta","Alosa sapidissima",NA,NA,NA,1,NA,NA,2,0,"Off","Feb"
"99","March","Delta","Alosa sapidissima",NA,NA,NA,1,NA,NA,3,0,"Off","Mar"
"100","April","Delta","Alosa sapidissima",NA,NA,NA,1,NA,NA,4,0,"Off","Apr"
"101","May","Delta","Alosa sapidissima",NA,NA,NA,1,NA,NA,5,0,"Off","May"
"102","June","Delta","Alosa sapidissima",NA,NA,NA,1,NA,NA,6,0.4113123,"Off","Jun"
"103","July","Delta","Alosa sapidissima",42.17398234,0.163693686,8.231652181,1,36.22353825,49.24959142,7,17.882055,"Key","Jul"
"104","August","Delta","Alosa sapidissima",24.96602055,-0.109018829,3.737839679,1,18.20414767,33.63885707,8,34.1904587,"Key","Aug"
"105","September","Delta","Alosa sapidissima",33.16453126,-0.098084651,5.317122814,1,26.53039797,41.75293936,9,21.5934002,"Key","Sep"
"106","October","Delta","Alosa sapidissima",30.95457751,-0.074771744,4.91494015,1,24.10154954,40.28923485,10,17.2822037,"Off","Oct"
"107","November","Delta","Alosa sapidissima",32.41680026,-0.048840757,5.303957726,1,25.92764711,41.59435818,11,7.6292214,"Off","Nov"
"108","December","Delta","Alosa sapidissima",15.44719529,0.042426456,2.614890164,1,9.715897336,24.90417611,12,1.0113489,"Off","Dec"
"109","January","Confluence","Alosa sapidissima",NA,NA,NA,1,NA,NA,1,0,"Off","Jan"
"110","February","Confluence","Alosa sapidissima",NA,NA,NA,1,NA,NA,2,0,"Off","Feb"
"111","March","Confluence","Alosa sapidissima",NA,NA,NA,1,NA,NA,3,0,"Off","Mar"
"112","April","Confluence","Alosa sapidissima",NA,NA,NA,1,NA,NA,4,0,"Off","Apr"
"113","May","Confluence","Alosa sapidissima",NA,NA,NA,1,NA,NA,5,0,"Off","May"
"114","June","Confluence","Alosa sapidissima",NA,NA,NA,1,NA,NA,6,0,"Off","Jun"
"115","July","Confluence","Alosa sapidissima",27.77826056,0.174306132,4.509538985,1,18.98987562,38.45545869,7,13.049637,"Off","Jul"
"116","August","Confluence","Alosa sapidissima",36.62582672,-0.070472935,6.247553148,1,26.48625654,49.61120162,8,31.9004856,"Key","Aug"
"117","September","Confluence","Alosa sapidissima",27.14860143,-0.04187202,4.275580969,1,18.75154349,39.21793928,9,17.2792716,"Key","Sep"
"118","October","Confluence","Alosa sapidissima",35.37131881,-0.060048825,5.961625241,1,25.85188585,47.81482054,10,15.5615601,"Key","Oct"
"119","November","Confluence","Alosa sapidissima",26.65359428,-0.077031475,4.0979551,1,17.89821164,38.55071835,11,19.0573386,"Key","Nov"
"120","December","Confluence","Alosa sapidissima",11.04227234,0.035110363,2.08047972,1,6.093090294,19.77587714,12,3.151707,"Off","Dec"
"121","January","Suisun","Alosa sapidissima",NA,NA,NA,1,NA,NA,1,0,"Off","Jan"
"122","February","Suisun","Alosa sapidissima",NA,NA,NA,1,NA,NA,2,0,"Off","Feb"
"123","March","Suisun","Alosa sapidissima",NA,NA,NA,1,NA,NA,3,0,"Off","Mar"
"124","April","Suisun","Alosa sapidissima",NA,NA,NA,1,NA,NA,4,0,"Off","Apr"
"125","May","Suisun","Alosa sapidissima",NA,NA,NA,1,NA,NA,5,0,"Off","May"
"126","June","Suisun","Alosa sapidissima",NA,NA,NA,1,NA,NA,6,0.0234859,"Off","Jun"
"127","July","Suisun","Alosa sapidissima",9.13450205,0.014651443,1.859936774,1,4.68624824,17.84716093,7,4.7637519,"Off","Jul"
"128","August","Suisun","Alosa sapidissima",16.17462594,0.074078449,2.707948878,1,11.68982611,22.87448549,8,15.8425333,"Key","Aug"
"129","September","Suisun","Alosa sapidissima",18.44034569,0.045696559,3.009491271,1,14.0022127,25.35442893,9,23.5222234,"Key","Sep"
"130","October","Suisun","Alosa sapidissima",19.35184615,0.02996458,3.136112188,1,14.71551142,26.79478869,10,21.0987839,"Key","Oct"
"131","November","Suisun","Alosa sapidissima",15.27230002,-0.005529737,2.583345978,1,11.23438257,22.2330418,11,19.2039176,"Key","Nov"
"132","December","Suisun","Alosa sapidissima",12.32755354,0.064674111,2.231671217,1,8.765301695,17.86629803,12,15.5453039,"Off","Dec"
"133","January","Sanpablo","Alosa sapidissima",NA,NA,NA,1,NA,NA,1,0,"Off","Jan"
"134","February","Sanpablo","Alosa sapidissima",NA,NA,NA,1,NA,NA,2,0,"Off","Feb"
"135","March","Sanpablo","Alosa sapidissima",NA,NA,NA,1,NA,NA,3,0,"Off","Mar"
"136","April","Sanpablo","Alosa sapidissima",NA,NA,NA,1,NA,NA,4,0,"Off","Apr"
"137","May","Sanpablo","Alosa sapidissima",NA,NA,NA,1,NA,NA,5,0,"Off","May"
"138","June","Sanpablo","Alosa sapidissima",NA,NA,NA,1,NA,NA,6,0,"Off","Jun"
"139","July","Sanpablo","Alosa sapidissima",NA,NA,NA,1,NA,NA,7,1.6537209,"Off","Jul"
"140","August","Sanpablo","Alosa sapidissima",14.77663383,-0.153968655,2.275277125,1,7.847851553,23.78618312,8,16.0661138,"Off","Aug"
"141","September","Sanpablo","Alosa sapidissima",21.69149723,-0.014619297,3.445680505,1,15.80335915,31.11521666,9,23.4648775,"Key","Sep"
"142","October","Sanpablo","Alosa sapidissima",20.4343235,-0.049010244,3.189374125,1,14.24467194,29.69547242,10,22.9076482,"Key","Oct"
"143","November","Sanpablo","Alosa sapidissima",20.5968571,-0.019465727,3.273984434,1,14.77106792,29.89093695,11,17.7323688,"Key","Nov"
"144","December","Sanpablo","Alosa sapidissima",10.97800613,-0.012793628,2.05498584,1,7.089565808,17.89912645,12,18.1752708,"Key","Dec"
"145","January","Sanpablo","Clupea pallasii",NA,NA,NA,1,NA,NA,1,0.00596,"Off","Jan"
"146","February","Sanpablo","Clupea pallasii",NA,NA,NA,1,NA,NA,2,0.00551,"Off","Feb"
"147","March","Sanpablo","Clupea pallasii",NA,NA,NA,1,NA,NA,3,1.3038693,"Off","Mar"
"148","April","Sanpablo","Clupea pallasii",32.38505403,0.072167944,5.449215266,1,27.12071617,39.78463291,4,18.3556355,"Key","Apr"
